"Type.of.feeding.interaction","Predator.lifestage","Location","Intercept","Slope","R.squared","F.statistic","p.value"
"insectivorous","larva / juvenile","Strait of Georgia",-3.45975627178894,81.1591380069623,0.621254577117463,49.2088780154159,8.51926669047012e-08
"piscivorous","adult","Apalachicola Bay, Florida",2542.50380929219,33.0987246647544,0.132795821890007,12.8630019554008,0.000561879679057595
"piscivorous","adult","Atlantic Ocean",1781.92810925732,4.86223410967459,0.0784205151286024,935.348840164231,3.20607848899496e-197
"piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England",235740.549468056,20.9020831805066,0.0814159630523919,6.20424172904769,0.0151192023605774
"piscivorous","adult","Eastern Mediterranean",167.83104888295,2.10178811132542,0.352890346819133,68.1666439923475,1.81489474211433e-13
"piscivorous","adult","Europe, Celtic Sea ecosystem",791.833537668487,12.9897337832027,0.198903821461407,518.676900682364,9.78120093068276e-103
"piscivorous","adult","French Polynesian EEZ",21176.9940663806,-1.64593427582037,0.000156849803497244,0.294767014919708,0.587246178185151
"piscivorous","adult","Great Channel South, Gulf of Maine, New England",107597.245781302,125.166807253085,0.123951449844567,102.579704197178,1.22274146393267e-22
"piscivorous","adult","Great South Bay, Long Island, New York",14.5631853115677,5.44632116641699,0.30716099416389,130.784341694212,2.58826202946324e-25
"piscivorous","adult","Gulf of Maine, New England",276034.961408492,-307.330062225959,0.0222886889602978,1.80094717937862,0.18344240447847
"piscivorous","adult","Jeffreys Ledge, Gulf of Maine, New England",147760.021989524,30.1139830084535,0.00599117322338166,2.33255880128091,0.127510327789256
"piscivorous","adult","Mid Atlantic",64.6364734633913,5.54412287304514,0.157138567803634,13.6097287305854,0.000430350550393747
"piscivorous","adult","Off the Bay of Biscay",88678.7053828189,120.756555830182,0.202948633663864,90.6462451930186,2.70482591554995e-19
"piscivorous","adult","South of Marthas Vineyard, New England",80233.3407799923,1527.79318298831,0.0234252175985282,0.335819695828037,0.571460155763787
